Date,Open,High,Low,Close,Adj Close,Volume,,,,
2/25/2022,1566.25,1625,1550,1573.199951,1573.052734,101266,,,,
2/28/2022,1524.699951,1604.949951,1510.300049,1588.5,1588.351318,305348,,,,
3/2/2022,1592,1667.900024,1550.300049,1667.900024,1667.743896,123179,,,,
3/3/2022,1735,1751.25,1701.300049,1751.25,1751.08606,134848,,,,
3/4/2022,1769.949951,1838,1733,1805.199951,1805.031006,307022,,,,
3/7/2022,1769.099976,1789.800049,1714.949951,1714.949951,1714.789429,162241,,,,
3/8/2022,1692,1755.050049,1629.25,1629.650024,1629.497559,263876,,,,
3/9/2022,1650,1695.400024,1601,1615.349976,1615.198853,169156,,,,
3/10/2022,1644.900024,1696.099976,1622.050049,1696.050049,1695.891357,358381,,,,
3/11/2022,1686.150024,1714,1649.25,1661.849976,1661.694458,135449,,,,
3/14/2022,1664.900024,1677.300049,1642.050049,1650.349976,1650.195557,277776,,,,
3/15/2022,1655,1673,1610,1624.400024,1624.248047,242931,,,,
3/16/2022,1631,1696.900024,1631,1685.099976,1684.942261,308775,,,,
3/17/2022,1701.25,1769.349976,1682.25,1766.800049,1766.634766,706012,,,,
3/21/2022,1810.199951,1836.900024,1790.650024,1814.150024,1813.980225,157858,,,,
3/22/2022,1845.449951,1904.849976,1805,1883.949951,1883.773682,334089,,,,
3/23/2022,1889,1914,1845,1898,1897.822388,411440,,,,
3/24/2022,1910,1992.900024,1855,1979.75,1979.564697,294149,,,,
3/25/2022,2015,2069,1977.75,2054.600098,2054.407715,205342,,,,
3/28/2022,2095,2221.949951,2080,2141.199951,2140.999512,370493,,,,
3/29/2022,2179,2190,2090,2180.800049,2180.595947,239910,,,,
3/30/2022,2179,2242.899902,2070,2124.649902,2124.451172,233133,,,,
3/31/2022,2100,2208.949951,2096,2149.800049,2149.598877,241990,,,,
4/1/2022,2178.550049,2281,2155.649902,2249.5,2249.289551,239883,,,,
4/4/2022,2280,2382,2268,2369.800049,2369.578369,274461,,,,
4/5/2022,2366.800049,2485,2310,2468.149902,2467.918945,267152,,,,
4/6/2022,2489.949951,2560,2468.149902,2536.949951,2536.712646,343764,,,,
4/7/2022,2530,2600,2303,2362.699951,2362.47876,506677,,,,
4/8/2022,2399.800049,2450,2378.850098,2427.100098,2426.873047,159992,,,,
4/11/2022,2469,2669.800049,2469,2665,2664.750732,553146,,,,
4/12/2022,2700,2740,2454.050049,2502.050049,2501.815918,804605,,,,
4/13/2022,2545,2569.949951,2465.449951,2500.850098,2500.615967,213500,,,,
4/18/2022,2482.5,2520.050049,2322.699951,2495,2494.766602,288489,,,,
4/19/2022,2522,2552,2300,2369.399902,2369.178223,420809,,,,
4/20/2022,2421,2500,2415,2478.399902,2478.167969,290667,,,,
4/21/2022,2509,2530,2415.199951,2443.350098,2443.121338,292017,,,,
4/22/2022,2420,2480,2393,2413,2412.77417,197099,,,,
4/25/2022,2419,2474.75,2400,2420,2419.773438,268339,,,,
4/26/2022,2478.149902,2595,2430,2562.5,2562.260254,702985,,,,
4/27/2022,2573.050049,2580,2448.649902,2503,2502.765869,345199,,,,
4/28/2022,2553,2628,2532.100098,2562.600098,2562.360352,465693,,,,
4/29/2022,2599.399902,2609.699951,2373.699951,2450.949951,2450.720703,659458,,,,
5/2/2022,2451,2520,2442.149902,2488.199951,2487.967041,305245,,,,
5/4/2022,2450,2504.949951,2434.050049,2447.050049,2446.821045,310199,,,,
5/5/2022,2375.050049,2495,2361.050049,2450.5,2450.270752,416552,,,,
5/6/2022,2375,2476,2370.149902,2437.649902,2437.421875,359823,,,,
5/9/2022,2400,2423.399902,2300,2375.25,2375.027832,305943,,,,
5/10/2022,2376.149902,2438,2301,2360.649902,2360.428955,469693,,,,
5/11/2022,2345,2454,2236.050049,2355.050049,2354.82959,508758,,,,
5/12/2022,2362.5,2398,2166.050049,2294.100098,2293.885498,602564,,,,
5/13/2022,2311,2490,2311,2369.100098,2368.878418,554235,,,,
5/16/2022,2340,2424.800049,2312.350098,2388.550049,2388.326416,154088,,,,
5/17/2022,2414.149902,2518,2385.149902,2500.5,2500.266113,371040,,,,
5/18/2022,2543,2561.949951,2460,2485.699951,2485.467285,412949,,,,
5/19/2022,2419,2449.899902,2350,2378.5,2378.277344,210243,,,,
5/20/2022,2449.800049,2460,2355.800049,2380.350098,2380.127441,444435,,,,
5/23/2022,2400,2434.699951,2311.199951,2331.600098,2331.381836,292937,,,,
5/24/2022,2377,2394.949951,2290,2328.25,2328.032227,295781,,,,
5/25/2022,2315,2328,2185.699951,2216.949951,2216.742432,304532,,,,
5/26/2022,2230,2438.600098,2145,2391.350098,2391.126221,365372,,,,
5/27/2022,2440,2485.75,2360,2456.449951,2456.219971,308232,,,,
5/30/2022,2468,2610,2465.050049,2589.5,2589.257568,357491,,,,
5/31/2022,2580,2624,2335.899902,2397.899902,2397.675537,1523242,,,,
6/1/2022,2380.899902,2458.600098,2276,2325.899902,2325.682129,705859,,,,
6/2/2022,2330,2495.25,2295.149902,2445.850098,2445.621338,487748,,,,
6/3/2022,2467,2467,2353.100098,2390.449951,2390.226318,388286,,,,
6/6/2022,2379,2511.199951,2284,2480.100098,2479.86792,266574,,,,
6/7/2022,2480,2585.600098,2401,2498.949951,2498.716064,430802,,,,
6/8/2022,2480.149902,2524.899902,2426.199951,2447.350098,2447.121094,268958,,,,
